,Date,Full,Modified,No Training,Grand Total,Full%
0,2021-11-01,18,0.0,0.0,18,1.0
1,2021-11-02,22,0.0,0.0,22,1.0
2,2021-11-03,18,0.0,0.0,18,1.0
3,2021-11-04,22,0.0,0.0,22,1.0
4,2021-11-05,22,0.0,0.0,22,1.0
5,2021-10-06,15,0.0,0.0,15,1.0
6,2021-11-06,4,0.0,0.0,4,1.0
7,2021-10-07,18,0.0,0.0,18,1.0
8,2021-11-07,18,0.0,0.0,18,1.0
9,2021-10-08,18,0.0,0.0,18,1.0
10,2021-11-08,18,0.0,0.0,18,1.0
11,2021-12-08,17,0.0,1.0,18,0.9444444444444444
12,2021-11-09,21,0.0,0.0,21,1.0
13,2021-10-10,18,0.0,0.0,18,1.0
14,2021-11-10,21,0.0,0.0,21,1.0
15,2021-11-11,18,0.0,0.0,18,1.0
16,2021-11-12,18,0.0,0.0,18,1.0
17,2021-12-12,17,0.0,1.0,18,0.9444444444444444
18,2022-03-01,36,0.0,2.0,38,0.9473684210526315
19,2022-02-02,18,0.0,1.0,19,0.9473684210526315
20,2022-03-02,18,0.0,1.0,19,0.9473684210526315
21,2022-01-03,17,1.0,1.0,19,0.8947368421052632
22,2022-02-03,18,0.0,1.0,19,0.9473684210526315
23,2022-03-03,18,0.0,1.0,19,0.9473684210526315
24,2022-01-04,17,1.0,1.0,19,0.8947368421052632
25,2022-05-04,17,1.0,1.0,19,0.8947368421052632
26,2022-01-06,17,1.0,1.0,19,0.8947368421052632
27,2022-04-06,18,0.0,1.0,19,0.9473684210526315
28,2022-05-06,17,1.0,1.0,19,0.8947368421052632
29,2022-01-07,17,1.0,1.0,19,0.8947368421052632
30,2022-02-07,18,0.0,1.0,19,0.9473684210526315
31,2022-03-07,18,0.0,1.0,19,0.9473684210526315
32,2022-04-07,18,0.0,1.0,19,0.9473684210526315
33,2022-02-08,18,0.0,1.0,19,0.9473684210526315
34,2022-03-08,18,0.0,1.0,19,0.9473684210526315
35,2022-04-08,18,0.0,1.0,19,0.9473684210526315
36,2022-05-09,17,1.0,1.0,19,0.8947368421052632
37,2022-01-10,18,0.0,1.0,19,0.9473684210526315
38,2022-03-10,18,0.0,1.0,19,0.9473684210526315
39,2022-05-10,17,1.0,1.0,19,0.8947368421052632
40,2022-01-11,18,0.0,1.0,19,0.9473684210526315
41,2022-02-11,18,0.0,1.0,19,0.9473684210526315
42,2022-03-11,18,0.0,1.0,19,0.9473684210526315
43,2022-04-11,17,1.0,1.0,19,0.8947368421052632
44,2022-01-12,18,0.0,1.0,19,0.9473684210526315
45,2022-03-12,18,0.0,1.0,19,0.9473684210526315
46,2022-04-12,16,1.0,2.0,19,0.8421052631578947
47,2022-05-12,17,1.0,1.0,19,0.8947368421052632
48,2021-12-13,17,0.0,1.0,18,0.9444444444444444
49,2022-01-14,18,0.0,1.0,19,0.9473684210526315
50,2022-02-14,17,1.0,1.0,19,0.8947368421052632
51,2022-04-14,16,1.0,2.0,19,0.8421052631578947
52,2021-10-14,18,0.0,0.0,18,1.0
53,2021-11-14,3,0.0,0.0,3,1.0
54,2022-04-15,16,1.0,2.0,19,0.8421052631578947
55,2021-10-15,18,0.0,0.0,18,1.0
56,2021-11-15,21,0.0,0.0,21,1.0
57,2021-12-15,17,0.0,1.0,18,0.9444444444444444
58,2022-02-16,18,0.0,1.0,19,0.9473684210526315
59,2021-11-16,18,0.0,0.0,18,1.0
60,2022-03-17,18,0.0,1.0,19,0.9473684210526315
61,2021-11-17,18,0.0,0.0,18,1.0
62,2022-02-18,18,0.0,1.0,19,0.9473684210526315
63,2022-03-18,18,0.0,1.0,19,0.9473684210526315
64,2022-04-18,16,2.0,1.0,19,0.8421052631578947
65,2021-10-18,22,0.0,0.0,22,1.0
66,2021-11-18,18,0.0,0.0,18,1.0
67,2022-01-19,18,0.0,1.0,19,0.9473684210526315
68,2021-11-19,21,0.0,0.0,21,1.0
69,2021-10-20,18,0.0,0.0,18,1.0
70,2021-11-20,3,0.0,0.0,3,1.0
71,2022-02-21,18,0.0,1.0,19,0.9473684210526315
72,2022-03-21,18,0.0,1.0,19,0.9473684210526315
73,2022-04-21,16,2.0,1.0,19,0.8421052631578947
74,2021-11-21,3,0.0,0.0,3,1.0
75,2022-02-22,18,0.0,1.0,19,0.9473684210526315
76,2022-03-22,18,0.0,1.0,19,0.9473684210526315
77,2022-04-22,17,1.0,1.0,19,0.8947368421052632
78,2021-10-22,18,0.0,0.0,18,1.0
79,2021-11-22,18,0.0,0.0,18,1.0
80,2022-02-23,18,0.0,1.0,19,0.9473684210526315
81,2022-03-23,18,0.0,1.0,19,0.9473684210526315
82,2021-11-23,18,0.0,0.0,18,1.0
83,2022-02-24,18,0.0,1.0,19,0.9473684210526315
84,2022-03-24,18,0.0,1.0,19,0.9473684210526315
85,2022-02-25,18,0.0,1.0,19,0.9473684210526315
86,2022-03-25,18,0.0,1.0,19,0.9473684210526315
87,2021-10-25,18,0.0,0.0,18,1.0
88,2021-10-26,22,0.0,0.0,22,1.0
89,2021-10-27,22,0.0,0.0,22,1.0
90,2022-02-28,18,0.0,1.0,19,0.9473684210526315
91,2022-03-28,18,0.0,1.0,19,0.9473684210526315
92,2021-10-28,22,0.0,0.0,22,1.0
93,2022-03-29,18,0.0,2.0,20,0.9
94,2021-10-29,22,0.0,0.0,22,1.0
95,2021-12-29,17,1.0,1.0,19,0.8947368421052632
96,2021-10-30,4,0.0,0.0,4,1.0
97,2021-11-30,17,0.0,1.0,18,0.9444444444444444
98,2021-12-30,17,1.0,1.0,19,0.8947368421052632
99,2022-03-31,18,0.0,1.0,19,0.9473684210526315
100,2021-12-31,17,1.0,1.0,19,0.8947368421052632
